country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,,,8770000,8060000,11200000,12900000,13300000,14700000,15300000,16200000,17700000,24000000,31700000,28700000,41100000,45900000,52500000,51400000,86800000,103000000,118000000,92000000,86400000,76300000,70200000,69600000,96600000,123000000,128000000,130000000,144000000,144000000,157000000,149000000,84100000,,103000000,93500000,,,,,,213000000,251000000,250000000,267000000,324000000,369000000,420000000,388000000,357000000,408000000,430000000,521000000,570000000,603000000,502000000,608000000
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782000000,1170000000,1630000000,2060000000,1940000000,1800000000,1430000000,1040000000,660000000,629000000,734000000,709000000,731000000,799000000,849000000,979000000,1300000000,1130000000,1020000000,1110000000,955000000,957000000,907000000,754000000,702000000,784000000,890000000
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000000,62000000,78600000,76600000,83400000,89100000,92500000,94300000,93700000,127000000,119000000,126000000,118000000,124000000,123000000,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,30700000,48700000,200000000,244000000,245000000,411000000,418000000,630000000,268000000,298000000,299000000,448000000,534000000,484000000,290000000,281000000,328000000,242000000,288000000,338000000,381000000,388000000,405000000,454000000,471000000,478000000,480000000,414000000,385000000,358000000,328000000,295000000,357000000,382000000
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816000000,938000000,1070000000,1120000000,988000000,1170000000,1210000000,1160000000,1180000000,1490000000,1890000000,2040000000,2440000000,2450000000,2710000000,2920000000,2720000000,2500000000,2470000000,2220000000,2150000000,2020000000,1780000000,1950000000,2080000000,2710000000
Denmark,161000000,171000000,225000000,239000000,255000000,286000000,301000000,323000000,345000000,352000000,396000000,430000000,487000000,582000000,732000000,932000000,945000000,1060000000,1320000000,1530000000,1620000000,1450000000,1400000000,1370000000,1260000000,1260000000,1650000000,2140000000,2320000000,2180000000,2650000000,2670000000,2840000000,2680000000,2720000000,3120000000,3090000000,2800000000,2850000000,2780000000,2390000000,2530000000,2690000000,3200000000,3580000000,3470000000,3900000000,4180000000,4790000000,4340000000,4500000000,4520000000,4420000000,4220000000,4060000000,3360000000,3590000000,3760000000,4230000000
Djibouti,,,,,,,,,,,,,,,,,,,45000,45000,1820000,5350000,29600000,30900000,31100000,31400000,30600000,30800000,31100000,31100000,31100000,31800000,33600000,31100000,30700000,29600000,24500000,26600000,26700000,26800000,26000000,26000000,33300000,41800000,37400000,44800000,49500000,34500000,36300000,,,,,,,,,,
Dominican Republic,38300000,36300000,38000000,39000000,42500000,40200000,37200000,35800000,37300000,35600000,35900000,36600000,39500000,42000000,57600000,65900000,76200000,86500000,103000000,120000000,105000000,125000000,126000000,126000000,139000000,61000000,82300000,59300000,47300000,53500000,47800000,33900000,63100000,96000000,101000000,84400000,107000000,151000000,159000000,175000000,247000000,306000000,272000000,156000000,153000000,272000000,259000000,275000000,334000000,321000000,355000000,349000000,396000000,383000000,438000000,458000000,480000000,533000000,603000000
Ecuador,22400000,18700000,18300000,17100000,20600000,23800000,22900000,25300000,29300000,39700000,30700000,29700000,37300000,49200000,74800000,102000000,117000000,205000000,164000000,186000000,209000000,234000000,229000000,200000000,193000000,284000000,207000000,207000000,198000000,189000000,202000000,209000000,211000000,276000000,291000000,475000000,419000000,499000000,549000000,296000000,266000000,384000000,505000000,739000000,710000000,954000000,950000000,1310000000,1650000000,1950000000,2090000000,2450000000,2590000000,2740000000,2790000000,2600000000,2510000000,2460000000,2550000000
